Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Airbase Leeuwarden;Netherlands;;4000;10;11;;;;Airbase Leeuwarden,Netherlands,4000,10,11,,,
Airbase Oman;India: Central;India;1500;4;11;;;;Airbase Oman,India: Central,1500,4,11,,,
Ajaccio;France;;71361;5;7;X;;;Ajaccio,France,71361,5,7,X,,
Ajdabiya;Libya;;134358;5;11;X;;;Ajdabiya,Libya,134358,5,11,X,,
Akrotiri and Dhekelia base;United Kingdom;;3000;3;20;;;;Akrotiri and Dhekelia base,United Kingdom,3000,3,20,,,
Aksum;Ethiopia;;94515;8;11;;;;Aksum,Ethiopia,94515,8,11,,,
Aktau;Kazakhstan;;147143;4;11;;;;Aktau,Kazakhstan,147143,4,11,,,
Al 'Amarah;Iraq;;323302;8;11;;;;Al 'Amarah,Iraq,323302,8,11,,,
Al Anbar;Iran;;1000;2;11;;;;Al Anbar,Iran,1000,2,11,,,
Al Fayyum;Egypt;;306393;7;11;;;;Al Fayyum,Egypt,306393,7,11,,,
Al Hasakah;Syria;;81539;7;11;;;;Al Hasakah,Syria,81539,7,11,,,
Al Hudaydah;Yemen;;617871;2;11;X;;;Al Hudaydah,Yemen,617871,2,11,X,,
Al Jahra';Kuwait;;24281;8;11;;;;Al Jahra',Kuwait,24281,8,11,,,
Al Kharj;Saudi Arabia;;425300;5;11;;;;Al Kharj,Saudi Arabia,425300,5,11,,,
Al Mawsil al Jadidah & Mosul;Iraq;;3930100;8;15;;;;Al Mawsil al Jadidah & Mosul,Iraq,3930100,8,15,,,
Al Minhad Air Base;United Arab Emirates;;1000;10;11;;;;Al Minhad Air Base,United Arab Emirates,1000,10,11,,,
Al Qadarif;Sudan;;363945;5;11;;;;Al Qadarif,Sudan,363945,5,11,,,
Al Wafrah;Kuwait;;10017;6;11;;;;Al Wafrah,Kuwait,10017,6,11,,,
Al-Asad Air Base;USA: Virginia;USA;1500;4;11;;;;Al-Asad Air Base,USA: Virginia,1500,4,11,,,
Al-Harir Air Base;USA: Virginia;USA;1000;4;11;;;;Al-Harir Air Base,USA: Virginia,1000,4,11,,,
Al-Jufra aribase;Libya;;1200;6;11;;;;Al-Jufra aribase,Libya,1200,6,11,,,
Al-Khadim airbase;Russia: Central;;2000;3;11;;;;Al-Khadim airbase,Russia: Central,2000,3,11,,,
Al-Kiswah Military base;Iran;;1500;4;11;;;;Al-Kiswah Military base,Iran,1500,4,11,,,
Al-Qa'im;Iraq;;74100;6;11;;;;Al-Qa'im,Iraq,74100,6,11,,,
Al-Shaddadi military base;USA: Virginia;USA;1000;4;11;;;;Al-Shaddadi military base,USA: Virginia,1000,4,11,,,
Albany;USA: New York;USA;1170483;2;25;;;;Albany,USA: New York,1170483,2,25,,,
Albuquerque;USA: New Mexico;USA;916528;2;27;;;;Albuquerque,USA: New Mexico,916528,2,27,,,
Alderney;Crown Dependencies;;2100;1;11;X;;;Alderney,Crown Dependencies,2100,1,11,X,,
Aleppo;Syria;;1602246;8;14;;;;Aleppo,Syria,1602246,8,14,,,
Alesund;Norway;;44096;7;11;X;;;Alesund,Norway,44096,7,11,X,,
Alexandria;Egypt;;4110015;8;45;X;;;Alexandria,Egypt,4110015,8,45,X,,
Alexandroupol Military base;Greece;;3000;6;11;X;;;Alexandroupol Military base,Greece,3000,6,11,X,,
Alexandrovsk-Sakhalinsk;Russia: Sakhalin;;497973;5;43;X;;;Alexandrovsk-Sakhalinsk,Russia: Sakhalin,497973,5,43,X,,
Alfred Faure;France;;35;1;8;;;;Alfred Faure,France,35,1,8,,,
Algiers;Algeria;;3159051;10;91;X;;;Algiers,Algeria,3159051,10,91,X,,
Alice Springs;Australia: Northern Territory;;25000;1;9;;;;Alice Springs,Australia: Northern Territory,25000,1,9,,,
Almaty;Kazakhstan;;2026000;6;40;;;;Almaty,Kazakhstan,2026000,6,40,,,
Alofi;Niue;;597;1;27;X;;;Alofi,Niue,597,1,27,X,,
Alor Setar;Malaysia;;217368;4;11;X;;;Alor Setar,Malaysia,217368,4,11,X,,
Amami Islands;Japan;;104281;1;11;X;;;Amami Islands,Japan,104281,1,11,X,,
Amarillo;USA: Texas;USA;309233;3;9;;;;Amarillo,USA: Texas,309233,3,9,,,
Amasra Naval Base;Türkiye;;2000;3;11;X;;;Amasra Naval Base,Türkiye,2000,3,11,X,,
Amdjarass Military base;United Arab Emirates;;1500;4;11;;;;Amdjarass Military base,United Arab Emirates,1500,4,11,,,
American Samoa;USA: Virginia;USA;44273;2;42;X;;;American Samoa,USA: Virginia,44273,2,42,X,,
Amini;India: South;India;8426;1;11;;;;Amini,India: South,8426,1,11,,,
Amman;Jordan;;2125400;10;32;;;;Amman,Jordan,2125400,10,32,,,
Amsterdam;Netherlands;;850000;10;226;X;;;Amsterdam,Netherlands,850000,10,226,X,,
Amsterdam Island;France;;400;2;11;;;;Amsterdam Island,France,400,2,11,,,
Anadyr Ugolny Airport;Russia: Central;;2000;3;20;;;;Anadyr Ugolny Airport,Russia: Central,2000,3,20,,,
Anchorage;USA: Alaska;USA;398328;2;15;X;;;Anchorage,USA: Alaska,398328,2,15,X,,
Andaman Island;India: South;India;343125;1;11;;;;Andaman Island,India: South,343125,1,11,,,
Andijan;Uzbekistan;;423900;4;7;;;;Andijan,Uzbekistan,423900,4,7,,,
Andorra la Vella;Andorra;;79824;1;20;;;;Andorra la Vella,Andorra,79824,1,20,,,
Anguilla;United Kingdom;;15094;1;11;X;;;Anguilla,United Kingdom,15094,1,11,X,,
Anijima;Japan;;2440;1;9;X;;;Anijima,Japan,2440,1,9,X,,
Ankara;Türkiye;;3901201;9;57;;;;Ankara,Türkiye,3901201,9,57,,,
Annaba;Algeria;;206570;8;11;X;;;Annaba,Algeria,206570,8,11,X,,
Annapolis;USA: Maryland;USA;38394;6;119;X;;;Annapolis,USA: Maryland,38394,6,119,X,,
Annobon Island;Equatorial Guinea;;5817;1;11;X;;;Annobon Island,Equatorial Guinea,5817,1,11,X,,
Anshan;China: Liaoning;;3325145;3;11;;;;Anshan,China: Liaoning,3325145,3,11,,,
Antalya;Türkiye;;904960;4;14;X;;;Antalya,Türkiye,904960,4,14,X,,
Antananarivo;Madagascar;;1275207;3;51;;;;Antananarivo,Madagascar,1275207,3,51,,,
Antofagasta;Chile;;309832;7;11;;;;Antofagasta,Chile,309832,7,11,,,
Antwerp;Belgium;;538552;10;110;X;;;Antwerp,Belgium,538552,10,110,X,,
Apia;Samoa;;222557;1;11;;;;Apia,Samoa,222557,1,11,,,
Aqtobe;Kazakhstan;;258014;5;9;;X;;Aqtobe,Kazakhstan,258014,5,9,,X,
Ar Raqqah;Syria;;177636;8;11;;;;Ar Raqqah,Syria,177636,8,11,,,
Ar Rayyan;Qatar;;272465;10;11;;;;Ar Rayyan,Qatar,272465,10,11,,,
Arba Minch;Ethiopia;;69622;5;11;;;;Arba Minch,Ethiopia,69622,5,11,,,
Arequipa;Peru;;1000000;10;26;;X;;Arequipa,Peru,1000000,10,26,,X,
Arica;Chile;;222619;4;16;X;;;Arica,Chile,222619,4,16,X,,
Arkhangelsk;Russia: Arkhangelsk Oblast;;348783;5;19;X;;;Arkhangelsk,Russia: Arkhangelsk Oblast,348783,5,19,X,,
Arsenal Militar;Spain;;2000;7;11;X;;;Arsenal Militar,Spain,2000,7,11,X,,
Aruba;Netherlands;;107151;6;11;X;;;Aruba,Netherlands,107151,6,11,X,,
As Suwayq;Oman;;107143;5;11;;;;As Suwayq,Oman,107143,5,11,,,
Ascension Island;United Kingdom;;806;1;22;X;;;Ascension Island,United Kingdom,806,1,22,X,,
Ashgabat;Turkmenistan;;801300;8;42;;;;Ashgabat,Turkmenistan,801300,8,42,,,
Asmara;Eritrea;;1258001;4;16;;;;Asmara,Eritrea,1258001,4,16,,,
Astana;Kazakhstan;;345200;6;20;;;;Astana,Kazakhstan,345200,6,20,,,
Astrakhan;Russia: South;;520339;3;21;X;X;;Astrakhan,Russia: South,520339,3,21,X,X,
Asuncion;Paraguay;;2412112;8;64;;;;Asuncion,Paraguay,2412112,8,64,,,
Aswan;Egypt;;241261;8;11;X;;;Aswan,Egypt,241261,8,11,X,,
Asyut;Egypt;;420585;6;11;X;;;Asyut,Egypt,420585,6,11,X,,
At Taj;Libya;;46050;3;11;;;;At Taj,Libya,46050,3,11,,,
Ataq;Yemen;;37135;4;11;;;;Ataq,Yemen,37135,4,11,,,
Athabasca Basin;REE deposits Americas;;1;1;250;;;;Athabasca Basin,REE deposits Americas,1,1,250,,,
Athens area;Greece;;1585369;8;148;X;;;Athens area,Greece,1585369,8,148,X,,
Atlanta;USA: Georgia;USA;6089815;10;182;;;;Atlanta,USA: Georgia,6089815,10,182,,,
Atlantis;Unknown;;50000;1;180;;;;Atlantis,Unknown,50000,1,180,,,
Atyrau;Kazakhstan;;154100;4;5;X;;;Atyrau,Kazakhstan,154100,4,5,X,,
Auckland;New Zealand;;1486000;5;96;X;;;Auckland,New Zealand,1486000,5,96,X,,
Augusta;USA: Maine;USA;122151;1;19;;;;Augusta,USA: Maine,122151,1,19,,,
Aur Atoll;Marshall Islands;;499;1;33;X;X;;Aur Atoll,Marshall Islands,499,1,33,X,X,
Austin;USA: Texas;USA;2283371;8;64;;;;Austin,USA: Texas,2283371,8,64,,,
Australian HQ Al Minhad Air Base;Australia: NSW;;1000;3;11;;;;Australian HQ Al Minhad Air Base,Australia: NSW,1000,3,11,,,
Aves Island Military Base;Venezuela;;200;4;18;X;;;Aves Island Military Base,Venezuela,200,4,18,X,,
Ayacucho;Peru;;180766;4;26;;X;;Ayacucho,Peru,180766,4,26,,X,
Ayni Air Force Base;India: Central;India;1500;2;15;;;;Ayni Air Force Base,India: Central,1500,2,15,,,
Az Zawr;Kuwait;;5750;6;11;X;;;Az Zawr,Kuwait,5750,6,11,X,,
Azores;Portugal;;44403;4;12;X;;;Azores,Portugal,44403,4,12,X,,
Bacolod City & Mansilingan;Philippines;;909048;7;11;;;;Bacolod City & Mansilingan,Philippines,909048,7,11,,,
Baghdad;Iraq;;8126755;10;56;;;;Baghdad,Iraq,8126755,10,56,,,
Bahir Dar;Ethiopia;;168899;4;11;;;;Bahir Dar,Ethiopia,168899,4,11,,,
Baia Mare;Romania;;136553;8;11;;;;Baia Mare,Romania,136553,8,11,,,
Baie Sainte Anne;Seychelles;;350000;1;11;;;;Baie Sainte Anne,Seychelles,350000,1,11,,,
Baikonur Cosmodrome;Russia: Central;;39341;5;40;;X;;Baikonur Cosmodrome,Russia: Central,39341,5,40,,X,
Bakhmut;Ukraine;;71094;7;11;;;;Bakhmut,Ukraine,71094,7,11,,,
Baku;Azerbaijan;;1336000;10;46;X;;;Baku,Azerbaijan,1336000,10,46,X,,
Balad Air Base;USA: Virginia;USA;2000;3;11;;;;Balad Air Base,USA: Virginia,2000,3,11,,,
Balikpapan;Indonesia;;585900;4;26;X;X;;Balikpapan,Indonesia,585900,4,26,X,X,
Balkanabat;Turkmenistan;;87822;3;11;;;;Balkanabat,Turkmenistan,87822,3,11,,,
Baltimore;USA: Maryland;USA;569931;4;80;;;;Baltimore,USA: Maryland,569931,4,80,,,
Baltiysk naval base;Russia: Central;;2000;8;20;X;;;Baltiysk naval base,Russia: Central,2000,8,20,X,,
Bamako;Mali;;1690471;7;44;;;;Bamako,Mali,1690471,7,44,,,
Bamarni Air Base;Türkiye;;1500;2;11;;;;Bamarni Air Base,Türkiye,1500,2,11,,,
Bambari;Central African Republic;;32547;1;11;;;;Bambari,Central African Republic,32547,1,11,,,
Bandar Abbas;Iran;;367508;5;6;X;;;Bandar Abbas,Iran,367508,5,6,X,,
Bandar Seri Begawan;Brunei Darussalam;;27285;2;26;X;;;Bandar Seri Begawan,Brunei Darussalam,27285,2,26,X,,
Bandung;Indonesia;;8357393;8;43;;;;Bandung,Indonesia,8357393,8,43,,,
Bangalore;India: South;India;10456000;10;81;;;;Bangalore,India: South,10456000,10,81,,,
Bangkok;Thailand;;6542751;10;169;X;;;Bangkok,Thailand,6542751,10,169,X,,
Bangui;Central African Republic;;531763;1;23;;;;Bangui,Central African Republic,531763,1,23,,,
Banja Luka;Bosnia and Herzegovina;;221106;2;11;;;;Banja Luka,Bosnia and Herzegovina,221106,2,11,,,
Banjarmasin;Indonesia;;672300;3;10;X;;;Banjarmasin,Indonesia,672300,3,10,X,,
Banjul;Gambia;;357238;2;11;X;X;;Banjul,Gambia,357238,2,11,X,X,
Baotou city;China: Inner Mongolia;;2909831;3;11;;;;Baotou city,China: Inner Mongolia,2909831,3,11,,,
Baranovichi air base;Russia: Central;;1000;6;11;;;;Baranovichi air base,Russia: Central,1000,6,11,,,
Barcelona;Spain;;5474482;10;84;X;;;Barcelona,Spain,5474482,10,84,X,,
Barcelona & Puerto La Cruz;Venezuela;;794795;7;11;;;;Barcelona & Puerto La Cruz,Venezuela,794795,7,11,,,
Bari;Italy;;325052;7;23;X;;;Bari,Italy,325052,7,23,X,,
Barisal;Bangladesh;;202402;10;11;;;;Barisal,Bangladesh,202402,10,11,,,
Barquisimeto;Venezuela;;960000;4;29;;X;;Barquisimeto,Venezuela,960000,4,29,,X,
Barranquilla;Colombia;;2370753;10;15;X;X;;Barranquilla,Colombia,2370753,10,15,X,X,
Base Aeronaval Pioneros Fueguino;Argentina;;3500;5;11;X;;;Base Aeronaval Pioneros Fueguino,Argentina,3500,5,11,X,,
Base Aérea De Boa Vista;Brazil: Mato Grosso;;3500;10;11;;;;Base Aérea De Boa Vista,Brazil: Mato Grosso,3500,10,11,,,
Base Aérea de Canoas;Brazil: Mato Grosso;;1500;6;11;;;;Base Aérea de Canoas,Brazil: Mato Grosso,1500,6,11,,,
Base Naval Ushuaia;Argentina;;2000;4;11;X;;;Base Naval Ushuaia,Argentina,2000,4,11,X,,
Base Naval de Rota;USA: Virginia;USA;1400;6;20;X;;;Base Naval de Rota,USA: Virginia,1400,6,20,X,,
Basel;Switzerland;;164488;10;11;;;;Basel,Switzerland,164488,10,11,,,
Bashiqa military camp;Türkiye;;2000;3;11;;;;Bashiqa military camp,Türkiye,2000,3,11,,,
Basra & Al Basrah al Qadimah;Iraq;;4615100;10;15;;X;;Basra & Al Basrah al Qadimah,Iraq,4615100,10,15,,X,
Basseterre;Saint Kitts and Nevis;;16916;1;11;X;;;Basseterre,Saint Kitts and Nevis,16916,1,11,X,,
Baton Rouge;USA: Louisiana;USA;870569;4;30;;;;Baton Rouge,USA: Louisiana,870569,4,30,,,
Batumi;Georgia;;121806;5;11;X;;;Batumi,Georgia,121806,5,11,X,,
Beatrice Field;Beatrice Field;;500;1;32;X;X;;Beatrice Field,Beatrice Field,500,1,32,X,X,
Beijing;China: Hebei;;22366547;10;250;;;;Beijing,China: Hebei,22366547,10,250,,,
Beira;Mozambique;;436240;6;10;X;;;Beira,Mozambique,436240,6,10,X,,
Beirut;Lebanon;;3167839;5;37;X;;;Beirut,Lebanon,3167839,5,37,X,,
Belem;Brazil: Amazon;;2249405;6;26;X;;;Belem,Brazil: Amazon,2249405,6,26,X,,
Belfast;United Kingdom;;643005;5;18;X;;;Belfast,United Kingdom,643005,5,18,X,,
Belgrade;Serbia;;1430000;10;75;;;;Belgrade,Serbia,1430000,10,75,,,
Belmopan;Belize;;16400;3;19;X;;;Belmopan,Belize,16400,3,19,X,,
Belo Horizonte;Brazil: Southeast;;2434642;4;45;;;;Belo Horizonte,Brazil: Southeast,2434642,4,45,,,
Bend;USA: Oregon;USA;99178;1;2;;X;;Bend,USA: Oregon,99178,1,2,,X,
Benghazi;Libya;;1110000;4;35;X;;;Benghazi,Libya,1110000,4,35,X,,
Benin City;Nigeria;;1147188;5;17;;X;;Benin City,Nigeria,1147188,5,17,,X,
Beqaa Military base;Iran;;1500;3;11;;;;Beqaa Military base,Iran,1500,3,11,,,
Bergen;Norway;;388800;8;52;X;;;Bergen,Norway,388800,8,52,X,,
Berkut Oil Rig;Russia: Sakhalin;;200;1;200;X;;;Berkut Oil Rig,Russia: Sakhalin,200,1,200,X,,
Berlin;Germany;;6144600;10;250;;;;Berlin,Germany,6144600,10,250,,,
Bermuda;United Kingdom;;63913;2;23;X;;;Bermuda,United Kingdom,63913,2,23,X,,
Bern;Switzerland;;128041;10;59;;;;Bern,Switzerland,128041,10,59,,,
Besovets air base;Russia: Central;;1000;4;11;;;;Besovets air base,Russia: Central,1000,4,11,,,
Bila Tserkva Airfield;Ukraine;;1500;8;11;;;;Bila Tserkva Airfield,Ukraine,1500,8,11,,,
Bilbao;Spain;;1037847;6;46;X;;;Bilbao,Spain,1037847,6,46,X,,
Billings;USA: Montana;USA;184167;1;7;;X;;Billings,USA: Montana,184167,1,7,,X,
Bintulu;Malaysia;;213000;3;11;X;;;Bintulu,Malaysia,213000,3,11,X,,
Bir Lehlou;Sahrawi Arab Democratic Republic;;4000;1;11;;;;Bir Lehlou,Sahrawi Arab Democratic Republic,4000,1,11,,,
Birmingham;United Kingdom;;2665100;7;70;;;;Birmingham,United Kingdom,2665100,7,70,,,
Bishkek;Kyrgyzstan;;900000;6;17;;;;Bishkek,Kyrgyzstan,900000,6,17,,,
Biskra;Algeria;;307987;6;11;;;;Biskra,Algeria,307987,6,11,,,
Bismarck;USA: North Dakota;USA;133626;2;6;;;;Bismarck,USA: North Dakota,133626,2,6,,,
Bissau;Guinea-Bissau;;407424;2;11;X;;;Bissau,Guinea-Bissau,407424,2,11,X,,
Bitola;North-Macedonia;;86528;4;11;;;;Bitola,North-Macedonia,86528,4,11,,,
Bizerte;Tunisia;;115268;8;11;;;;Bizerte,Tunisia,115268,8,11,,,
Blantyre;Malawi;;732518;1;13;;X;;Blantyre,Malawi,732518,1,13,,X,
Bloemfontein & Botshabelo;South Africa;;772778;8;11;;;;Bloemfontein & Botshabelo,South Africa,772778,8,11,,,
Bobo-Dioulasso;Burkina Faso;;360160;2;11;;;;Bobo-Dioulasso,Burkina Faso,360160,2,11,,,
Bodo;Norway;;34073;8;11;X;;;Bodo,Norway,34073,8,11,X,,
Bogota;Colombia;;10700000;10;121;;;;Bogota,Colombia,10700000,10,121,,,
Boise;USA: Idaho;USA;749202;1;20;;;;Boise,USA: Idaho,749202,1,20,,,
Bologna;Italy;;371331;6;11;;;;Bologna,Italy,371331,6,11,,,
Bonaire;Netherlands;;20104;6;11;X;;;Bonaire,Netherlands,20104,6,11,X,,
Bor;Serbia;;39387;6;11;;;;Bor,Serbia,39387,6,11,,,
Bordeaux;France;;1009051;8;40;X;;;Bordeaux,France,1009051,8,40,X,,
Bordj Bou Arreridj & El Achir;Algeria;;326679;7;11;;;;Bordj Bou Arreridj & El Achir,Algeria,326679,7,11,,,
Boston;USA: Massachusetts;USA;4941632;1;169;X;;;Boston,USA: Massachusetts,4941632,1,169,X,,
Bouake;Côte d'Ivoire;;567481;3;11;;;;Bouake,Côte d'Ivoire,567481,3,11,,,
Bouvet Island;Norway;;1;1;8;;;;Bouvet Island,Norway,1,1,8,,,
Braga;Portugal;;121394;8;11;;;;Braga,Portugal,121394,8,11,,,
Bragança;Portugal;;50000;8;11;;;;Bragança,Portugal,50000,8,11,,,
Brasov;Romania;;276088;4;11;;;;Brasov,Romania,276088,4,11,,,
Brasília;Brazil: Mato Grosso;;2455903;8;78;;;;Brasília,Brazil: Mato Grosso,2455903,8,78,,,
Bratislava;Slovakia;;423737;10;61;;;;Bratislava,Slovakia,423737,10,61,,,
Brazzaville;Republic of the Congo;;1218541;3;28;;;;Brazzaville,Republic of the Congo,1218541,3,28,,,
Bremen;Germany;;546401;8;11;;;;Bremen,Germany,546401,8,11,,,
Brest;Belarus;;300715;5;11;;;;Brest,Belarus,300715,5,11,,,
Bridgetown;Barbados;;110000;1;21;X;X;;Bridgetown,Barbados,110000,1,21,X,X,
Brisbane & Gold Coast;Australia: Queensland;;3157594;6;186;X;;;Brisbane & Gold Coast,Australia: Queensland,3157594,6,186,X,,
Bristol;United Kingdom;;551066;8;17;X;X;;Bristol,United Kingdom,551066,8,17,X,X,
British Virgin islands;United Kingdom;;31305;1;19;X;;;British Virgin islands,United Kingdom,31305,1,19,X,,
Brno;Czechia;;369559;10;11;;;;Brno,Czechia,369559,10,11,,,
Brody and Dubno Airbases;Ukraine;;1500;7;11;;;;Brody and Dubno Airbases,Ukraine,1500,7,11,,,
Brugge;Belgium;;116709;8;11;;;;Brugge,Belgium,116709,8,11,,,
Brussels;Belgium;;1048491;10;200;;;;Brussels,Belgium,1048491,10,200,,,
Bucharest area;Romania;;3118763;8;104;;;;Bucharest area,Romania,3118763,8,104,,,
Budapest area;Hungary;;2946589;9;113;;;;Budapest area,Hungary,2946589,9,113,,,
Budta & Malingao;Philippines;;2395689;9;11;X;;;Budta & Malingao,Philippines,2395689,9,11,X,,
Buenos Aires;Argentina;;14484416;10;178;X;;;Buenos Aires,Argentina,14484416,10,178,X,,
Buffalo;USA: New York;USA;1125637;1;23;X;X;;Buffalo,USA: New York,1125637,1,23,X,X,
Bujumbura;Burundi;;235440;2;7;;X;;Bujumbura,Burundi,235440,2,7,,X,
Bukhara;Uzbekistan;;247664;6;11;;;;Bukhara,Uzbekistan,247664,6,11,,,
Bulawayo;Zimbabwe;;713340;4;21;;;;Bulawayo,Zimbabwe,713340,4,21,,,
Bunbury;Australia: Western;;75196;1;11;X;;;Bunbury,Australia: Western,75196,1,11,X,,
Buraydah;Saudi Arabia;;391336;4;11;;;;Buraydah,Saudi Arabia,391336,4,11,,,
Burgas;Bulgaria;;195966;8;11;X;;;Burgas,Bulgaria,195966,8,11,X,,
Bursa;Türkiye;;1576041;6;23;;X;;Bursa,Türkiye,1576041,6,23,,X,
Busan;South Korea;;3635389;10;96;X;;;Busan,South Korea,3635389,10,96,X,,
Butterworth Air Base;Australia: NSW;;3000;3;20;;;;Butterworth Air Base,Australia: NSW,3000,3,20,,,
Bydgoszcz;Poland;;366452;7;11;;;;Bydgoszcz,Poland,366452,7,11,,,
Béchar;Algeria;;149000;7;11;;;;Béchar,Algeria,149000,7,11,,,
Cabinda;Angola;;739182;10;106;X;;;Cabinda,Angola,739182,10,106,X,,
Cabo;Mexico;;202000;5;41;X;;;Cabo,Mexico,202000,5,41,X,,
Cacak;Serbia;;117072;8;11;;;;Cacak,Serbia,117072,8,11,,,
Cagliari;Italy;;154460;7;13;X;;;Cagliari,Italy,154460,7,13,X,,
Cairns;Australia: Queensland;;164000;1;24;X;;;Cairns,Australia: Queensland,164000,1,24,X,,
Cairo;Egypt;;6758581;10;98;X;;;Cairo,Egypt,6758581,10,98,X,,
Calgary;Canada: Alberta;;1481806;5;43;;;;Calgary,Canada: Alberta,1481806,5,43,,,
Cali;Colombia;;3400000;10;69;;;;Cali,Colombia,3400000,10,69,,,
Cam Ranh Bay;India: Central;India;3000;7;11;;;;Cam Ranh Bay,India: Central,3000,7,11,,,
Camaguey;Cuba;;347562;7;11;;;;Camaguey,Cuba,347562,7,11,,,
Camilo Osias & San Vicente base;Philippines;;3500;8;11;X;;;Camilo Osias & San Vicente base,Philippines,3500,8,11,X,,
Camp Arifjan;USA: Virginia;USA;1000;5;11;X;;;Camp Arifjan,USA: Virginia,1000,5,11,X,,
Camp Asahikawa;Japan;;2000;7;11;;;;Camp Asahikawa,Japan,2000,7,11,,,
Camp Humphreys;USA: Virginia;USA;3000;8;11;;;;Camp Humphreys,USA: Virginia,3000,8,11,,,
Camp Lemonnier;USA: Virginia;USA;3000;4;20;X;;;Camp Lemonnier,USA: Virginia,3000,4,20,X,,
Camp Nayoro;Japan;;3000;5;11;;;;Camp Nayoro,Japan,3000,5,11,,,
Campo Grande;Brazil: Mato Grosso;;787204;3;25;;;;Campo Grande,Brazil: Mato Grosso,787204,3,25,,,
Can Tho & Rạch Giá;Vietnam;;259890;9;13;X;X;;Can Tho & Rạch Giá,Vietnam,259890,9,13,X,X,
Canadian Forces Base Cold Lake;Canada: Ontario;;3500;5;11;;;;Canadian Forces Base Cold Lake,Canada: Ontario,3500,5,11,,,
Canadian Forces Base Halifax;Canada: Ontario;;3500;6;11;X;;;Canadian Forces Base Halifax,Canada: Ontario,3500,6,11,X,,
Canadian Forces Base Winnipeg;Canada: Ontario;;3500;4;11;;;;Canadian Forces Base Winnipeg,Canada: Ontario,3500,4,11,,,
Canberra;Australia: NSW;;340800;8;45;;;;Canberra,Australia: NSW,340800,8,45,,,
Cancún;Mexico;;890000;6;20;X;;;Cancún,Mexico,890000,6,20,X,,
Cape Town;South Africa;;3497097;10;107;X;;;Cape Town,South Africa,3497097,10,107,X,,
